HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Alabama,1104,4,Akron,1103,12,0.8297744536895065
Arizona,1112,1,Akron,1103,12,0.9267888671005122
Arkansas,1116,4,Akron,1103,12,0.8302260784059768
BYU,1140,6,Akron,1103,12,0.8084788778285229
Akron,1103,12,Cal Baptist,1465,13,0.6631539138395101
Clemson,1155,8,Akron,1103,12,0.7324715645242587
Connecticut,1163,2,Akron,1103,12,0.8560279334206283
Duke,1181,1,Akron,1103,12,0.9471840932011644
Florida,1196,1,Akron,1103,12,0.9040196857041595
Akron,1103,12,Furman,1202,15,0.8036079706588068
Georgia,1208,8,Akron,1103,12,0.7553163403212846
Gonzaga,1211,3,Akron,1103,12,0.8777283899265081
Akron,1103,12,Hawaii,1218,13,0.6040451964861706
Akron,1103,12,High Point,1219,12,0.5434410448662718
Akron,1103,12,Hofstra,1220,13,0.5968581651645195
Houston,1222,2,Akron,1103,12,0.9045995327401695
Akron,1103,12,Howard,1224,16,0.836696539251102
Akron,1103,12,Idaho,1225,15,0.7392017515321674
Illinois,1228,3,Akron,1103,12,0.9057128984559358
Iowa,1234,9,Akron,1103,12,0.7871591088670472
Iowa St,1235,2,Akron,1103,12,0.9024913545387641
Kansas,1242,4,Akron,1103,12,0.8160174493373159
Akron,1103,12,Kennesaw,1244,14,0.7362470580816333
Kentucky,1246,7,Akron,1103,12,0.7833724810000287
Akron,1103,12,Lehigh,1250,16,0.9052733967829939
Akron,1103,12,LIU Brooklyn,1254,16,0.8417779838209123
Louisville,1257,6,Akron,1103,12,0.846345118189063
McNeese St,1270,12,Akron,1103,12,0.4716415248188462
Miami FL,1274,7,Akron,1103,12,0.738412275401475
Miami OH,1275,11,Akron,1103,12,0.36715813216253945
Michigan,1276,1,Akron,1103,12,0.9442910702164665
Michigan St,1277,3,Akron,1103,12,0.865415718400446
Missouri,1281,10,Akron,1103,12,0.6002574697497003
Akron,1103,12,N Dakota St,1295,14,0.6666412969330328
NC State,1301,11,Akron,1103,12,0.7473980727068231
Nebraska,1304,4,Akron,1103,12,0.8293465735769212
North Carolina,1314,6,Akron,1103,12,0.7736248885902114
Akron,1103,12,Northern Iowa,1320,12,0.46680382255918873
Ohio St,1326,8,Akron,1103,12,0.7758400661056775
Akron,1103,12,Penn,1335,14,0.7490658560069131
Akron,1103,12,Prairie View,1341,16,0.9247102216415469
Purdue,1345,2,Akron,1103,12,0.8952360524910293
Akron,1103,12,Queens NC,1474,15,0.8073133828866049
Santa Clara,1365,10,Akron,1103,12,0.6967924908691844
Akron,1103,12,Siena,1373,16,0.8251008551003404
SMU,1374,11,Akron,1103,12,0.7076302947268236
South Florida,1378,11,Akron,1103,12,0.6192294554230692
St John's,1385,5,Akron,1103,12,0.8296183666596335
St Louis,1387,9,Akron,1103,12,0.7188372808131032
St Mary's CA,1388,7,Akron,1103,12,0.7681967167145262
TCU,1395,9,Akron,1103,12,0.6879153901202157
Tennessee,1397,6,Akron,1103,12,0.8342896625888813
Akron,1103,12,Tennessee St,1398,15,0.8272053520211359
Texas,1400,11,Akron,1103,12,0.6912924294166509
Texas A&M,1401,10,Akron,1103,12,0.687577837152798
Texas Tech,1403,5,Akron,1103,12,0.8292829967629779
Akron,1103,12,Troy,1407,13,0.74794845334582
UCF,1416,10,Akron,1103,12,0.6101318884360213
UCLA,1417,7,Akron,1103,12,0.7607682754693499
Akron,1103,12,UMBC,1420,16,0.8293793272858369
Utah St,1429,9,Akron,1103,12,0.7509538232180831
Vanderbilt,1435,5,Akron,1103,12,0.8376107498775187
VCU,1433,11,Akron,1103,12,0.6216731626157419
Villanova,1437,8,Akron,1103,12,0.7192615155113414
Virginia,1438,3,Akron,1103,12,0.8322138912928182
Wisconsin,1458,5,Akron,1103,12,0.7866623493737074
Akron,1103,12,Wright St,1460,14,0.7311479262994113
Arizona,1112,1,Alabama,1104,4,0.7068263732445794
Alabama,1104,4,Arkansas,1116,4,0.4806273597529253
Alabama,1104,4,BYU,1140,6,0.5173791320599345
Alabama,1104,4,Cal Baptist,1465,13,0.9117940119039086
Alabama,1104,4,Clemson,1155,8,0.6230472093092689
Connecticut,1163,2,Alabama,1104,4,0.5310413929544542
Duke,1181,1,Alabama,1104,4,0.7735248928595886
Florida,1196,1,Alabama,1104,4,0.6420676753703238
Alabama,1104,4,Furman,1202,15,0.9555259897968557
Alabama,1104,4,Georgia,1208,8,0.594483291239539
Gonzaga,1211,3,Alabama,1104,4,0.5775524753469301
Alabama,1104,4,Hawaii,1218,13,0.8890138303321192
Alabama,1104,4,High Point,1219,12,0.8620666077373674
Alabama,1104,4,Hofstra,1220,13,0.8860233097687397
Houston,1222,2,Alabama,1104,4,0.6436061701774046
Alabama,1104,4,Howard,1224,16,0.9641605816331319
Alabama,1104,4,Idaho,1225,15,0.9370373837222549
Illinois,1228,3,Alabama,1104,4,0.6465754159975579
Alabama,1104,4,Iowa,1234,9,0.550283321242498
Iowa St,1235,2,Alabama,1104,4,0.6380382797716851
Alabama,1104,4,Kansas,1242,4,0.5050263749713901
Alabama,1104,4,Kennesaw,1244,14,0.9361303920536496
Alabama,1104,4,Kentucky,1246,7,0.5558341870068043
Alabama,1104,4,Lehigh,1250,16,0.9804608075898908
Alabama,1104,4,LIU Brooklyn,1254,16,0.9654396103851831
Alabama,1104,4,Louisville,1257,6,0.4510282118316597
Alabama,1104,4,McNeese St,1270,12,0.8352437877836518
Alabama,1104,4,Miami FL,1274,7,0.615849540300032
Alabama,1104,4,Miami OH,1275,11,0.886364160776192
Michigan,1276,1,Alabama,1104,4,0.763494734707791
Michigan St,1277,3,Alabama,1104,4,0.5504925793908216
Alabama,1104,4,Missouri,1281,10,0.7508522839520372
Alabama,1104,4,N Dakota St,1295,14,0.9130447491154265
Alabama,1104,4,NC State,1301,11,0.6046594585745165
Nebraska,1304,4,Alabama,1104,4,0.4806709202263047
Alabama,1104,4,North Carolina,1314,6,0.5697441303410439
Alabama,1104,4,Northern Iowa,1320,12,0.8213290412282119
Alabama,1104,4,Ohio St,1326,8,0.5666299308692657
Alabama,1104,4,Penn,1335,14,0.940025899664998
Alabama,1104,4,Prairie View,1341,16,0.9847302542236637
Purdue,1345,2,Alabama,1104,4,0.6194040479897088
Alabama,1104,4,Queens NC,1474,15,0.9565201833680338
Alabama,1104,4,Santa Clara,1365,10,0.6632097041804755
Alabama,1104,4,Siena,1373,16,0.9611959765506887
Alabama,1104,4,SMU,1374,11,0.6515361384224686
Alabama,1104,4,South Florida,1378,11,0.7356386377804673
Alabama,1104,4,St John's,1385,5,0.48170218080215293
Alabama,1104,4,St Louis,1387,9,0.6389937842818559
Alabama,1104,4,St Mary's CA,1388,7,0.5772621500641558
Alabama,1104,4,TCU,1395,9,0.6724549421400363
Alabama,1104,4,Tennessee,1397,6,0.47336564653947216
Alabama,1104,4,Tennessee St,1398,15,0.9617388282245932
Alabama,1104,4,Texas,1400,11,0.6689705114210421
Alabama,1104,4,Texas A&M,1401,10,0.6728010590257246
Alabama,1104,4,Texas Tech,1403,5,0.48229409705948106
Alabama,1104,4,Troy,1407,13,0.9396903731904184
Alabama,1104,4,UCF,1416,10,0.7430409374656948
Alabama,1104,4,UCLA,1417,7,0.5872975761783499
Alabama,1104,4,UMBC,1420,16,0.9622973481365736
