Slot,TeamID,TeamName
W01,,Duke
W16,,Siena
W08,,Ohio St
W09,,TCU
W05,,St John's
W12,,Northern Iowa
W04,,Kansas
W13,,Cal Baptist
W06,,Louisville
W11,,South Florida
W03,,Michigan St
W14,,N Dakota St
W07,,UCLA
W10,,UCF
W02,,Connecticut
W15,,Furman
X01,,Florida
X16,,Prairie View
X08,,Clemson
X09,,Iowa
X05,,Vanderbilt
X12,,McNeese St
X04,,Nebraska
X13,,Troy
X06,,North Carolina
X11,,VCU
X03,,Illinois
X14,,Penn
X07,,St Mary's CA
X10,,Texas A&M
X02,,Houston
X15,,Idaho
Y01,,Arizona
Y16,,LIU Brooklyn
Y08,,Villanova
Y09,,Utah St
Y05,,Wisconsin
Y12,,High Point
Y04,,Arkansas
Y13,,Hawaii
Y06,,BYU
Y11,,Texas
Y03,,Gonzaga
Y14,,Kennesaw
Y07,,Miami FL
Y10,,Missouri
Y02,,Purdue
Y15,,Queens NC
Z01,,Michigan
Z16,,Howard
Z08,,Georgia
Z09,,St Louis
Z05,,Texas Tech
Z12,,Akron
Z04,,Alabama
Z13,,Hofstra
Z06,,Tennessee
Z11,,SMU
Z03,,Virginia
Z14,,Wright St
Z07,,Kentucky
Z10,,Santa Clara
Z02,,Iowa St
Z15,,Tennessee St
